BJD,mag,filter,instrument
2460082.7076967987,-0.019704927,TESS,TESS
2460082.710011588,-0.013370531,TESS,TESS
2460082.712326377,-0.012711286,TESS,TESS
2460082.7146411664,-0.0069683553,TESS,TESS
2460082.7169559556,-0.019464297,TESS,TESS
2460082.719270745,-0.019055115,TESS,TESS
2460082.721585534,-0.008987069,TESS,TESS
2460082.7239003233,-0.013428826,TESS,TESS
2460082.7262151125,-0.008134019,TESS,TESS
2460082.7285299017,-0.014473662,TESS,TESS
2460082.730844691,-0.014887512,TESS,TESS
2460082.73315948,-0.010989865,TESS,TESS
2460082.7354742694,-0.016031956,TESS,TESS
2460082.7377890586,-0.012434936,TESS,TESS
2460082.740103848,-0.014756261,TESS,TESS
2460082.742418637,-0.01181699,TESS,TESS
2460082.7447334263,-0.015225649,TESS,TESS
2460082.7470482155,-0.015248878,TESS,TESS
2460082.7493630047,-0.019501418,TESS,TESS
2460082.751677794,-0.011338184,TESS,TESS
2460082.753992583,-0.021307897,TESS,TESS
2460082.7563073724,-0.010293916,TESS,TESS
2460082.7586221616,-0.0125374235,TESS,TESS
2460082.760936951,-0.019651035,TESS,TESS
2460082.76325174,-0.010570041,TESS,TESS
2460082.765566529,-0.018627204,TESS,TESS
2460082.767881318,-0.013420646,TESS,TESS
2460082.770196107,-0.013663642,TESS,TESS
2460082.7725108964,-0.01336107,TESS,TESS
2460082.7748256857,-0.013419239,TESS,TESS
2460082.777140475,-0.014181538,TESS,TESS
2460082.779455264,-0.009757615,TESS,TESS
2460082.7817700533,-0.01707671,TESS,TESS
2460082.7840848425,-0.011890091,TESS,TESS
2460082.7863996318,-0.0128780855,TESS,TESS
2460082.788714421,-0.020785265,TESS,TESS
2460082.79102921,-0.012512092,TESS,TESS
2460082.7933439994,-0.012118839,TESS,TESS
2460082.7956587886,-0.0079483725,TESS,TESS
2460082.797973578,-0.012052794,TESS,TESS
2460082.800288367,-0.016399315,TESS,TESS
2460082.8026031563,-0.0095604425,TESS,TESS
2460082.8049179455,-0.011025867,TESS,TESS
2460082.8072327347,-0.011787415,TESS,TESS
2460082.809547524,-0.01506253,TESS,TESS
2460082.811862313,-0.01614711,TESS,TESS
2460082.8141771024,-0.017205514,TESS,TESS
2460082.8164918916,-0.016567588,TESS,TESS
2460082.818806681,-0.014480559,TESS,TESS
2460082.82112147,-0.0073556346,TESS,TESS
2460082.8234362593,-0.01057427,TESS,TESS
2460082.8257510485,-0.00621513,TESS,TESS
2460082.8280658377,-0.009161372,TESS,TESS
2460082.830380627,-0.011588178,TESS,TESS
2460082.832695416,-0.017864073,TESS,TESS
2460082.8350102054,-0.008502263,TESS,TESS
2460082.8373249946,-0.015477939,TESS,TESS
2460082.839639784,-0.006355008,TESS,TESS
2460082.841954573,-0.015811302,TESS,TESS
2460082.844269362,-0.008749829,TESS,TESS
2460082.846584151,-0.014507378,TESS,TESS
2460082.8488989403,-0.010987045,TESS,TESS
2460082.8512137295,-0.007380189,TESS,TESS
2460082.8535285187,-0.012624806,TESS,TESS
2460082.855843308,-0.015155707,TESS,TESS
2460082.858158097,-0.0076697804,TESS,TESS
2460082.8604728864,-0.00241532,TESS,TESS
2460082.8627876756,-0.008588557,TESS,TESS
2460082.865102465,-0.0048428024,TESS,TESS
