time,flux,flux_model
1365.6830735124386,0.9997026,0.9996878
1365.7035064591182,0.9996694,0.9996884
1365.723939405565,0.9996912,0.99969023
1365.7443724517725,0.9996372,0.999692
1365.764805297753,0.9996874,0.99969107
1365.7852382432611,0.9998181,0.9996938
1365.8056712885445,0.9998749,0.9996946
1365.8261041335936,0.9998147,0.99969655
1365.8465370784106,0.99971485,0.99969757
1365.8669701227554,0.99974966,0.99969834
1365.8874029668732,0.9997252,0.99970055
1365.9078359109844,0.9996488,0.99969923
1365.928268954638,0.99974716,0.9996987
1365.9487017978245,0.99969524,0.9996973
1365.9691348410051,0.99963325,0.9996944
1365.9895677837267,0.9998511,0.9996945
1366.0100007264482,0.9997941,0.9996956
1366.0304336686968,0.9997153,0.9996948
1366.050866610487,0.9997437,0.99969375
1366.0712995522772,0.9995972,0.99969465
1366.0917324935945,0.99980855,0.99969673
1366.112165434919,0.9997743,0.999698
1366.132598375778,0.99966383,0.99969953
1366.1530313163967,0.9994953,0.9996985
1366.1938971967174,0.9996213,0.9996992
1366.2143302364057,0.99979526,0.99970025
1366.2347630758668,0.99970394,0.99970186
1366.2551960150959,0.9997153,0.99970156
1366.2756289540848,0.99966204,0.99970293
1366.2960618928482,0.9996231,0.9997076
1366.3164949311467,0.9997138,0.9997098
1366.3369277692036,0.99963784,0.9997082
1366.3573607070357,0.99967915,0.99970853
1366.3777937446284,0.9995785,0.99970603
1366.398226581994,0.9996328,0.99970627
1366.4186595188949,0.99961233,0.99970824
1366.4390925557964,0.9996554,0.99971044
1366.4595253922234,0.99961394,0.9997136
1366.4799583284257,0.99980146,0.9997174
1366.5003913641558,0.9997678,0.99971646
1366.5208241998916,0.9996964,0.9997181
1366.5412571351626,0.9998093,0.99972
1366.5616901702015,0.99975115,0.99972117
1366.5821231052323,0.99962425,0.999723
1366.6025559395712,0.9996522,0.9997257
1366.6229889739043,0.9996909,0.99972695
1366.6434219077782,0.9997883,0.9997264
1366.6638548416522,0.99971724,0.9997249
1366.6842877750605,0.9996725,0.99972737
1366.7047207082287,0.99959874,0.99972695
1366.725153741172,0.9997396,0.99972826
1366.745586573641,0.99982107,0.99972904
1366.766019506118,0.99972665,0.9997297
1366.78645253813,0.9996785,0.99973106
1366.8068853699078,0.9998184,0.99972975
1366.8273183014462,0.99972725,0.99972945
1366.847751332527,0.99981046,0.999733
1366.868184163599,0.9997397,0.99973583
1366.8886170942133,0.9998165,0.99973845
1366.9090501245955,0.999763,0.99974006
